start_s,text
348,その辺で絶望するよねｗ
349,わかる
349,わかる
350,横になったら、終わり
350,おうるないとからall nightに
351,あるあるｗ
351,あるある
351,４時間寝ると頭スッキリするよ
351,限界が来る
352,遅刻したらみるちーずのネタになるしヨシ！
352,そうだねｗ　そして寝過ごすｗ
353,他の人に迷惑かけるから寝てください
353,めっっちゃわかる
353,わかる
354,まあ、脱線ほどほどにね。
354,それで単位落としました
355,あるある
355,しにゅねw
356,あるある
357,あるある
357,確かに
359,高校生じゃないんだから
359,くっそわかる
364,あるあるよね、太陽見ると眠くなる
366,あるw
368,ウス
368,イベントのリハとか絶対体力持たないんですよね…
368,4時くらいに眠くなって「1時間で起きる！」って思うと失敗する
368,もう絶対寝たらアカン頃くるんよなw
369,朝日を浴びると眠くなる
371,モンエナキメなきゃ
375,だからたとえ30分ぐらいでも寝ることにしている
376,カフェインに助けてもらわないと
377,ﾎｰｩ
377,ﾎｰｳ:owl:
380,ﾎｰｩ
380,:owl:
381,:owl:
381,:owl:
381,ﾎｰｩ:owl:
382,Whoop
382,:owl:
382,ちろっさんかみあちに電話で起こしてもらおう
383,:owl:ほーぅ
383,ﾎｰｯ
383,時間１５分前が勝負
384,:owl:
384,:owl:
385,融合
387,ﾎｰｩ
389,:owl:
390,:owl:
390,ﾎｰｩ
390,:owl:
391,:owl:
391,ﾎｰｩ:owl:
398,そうそう
400,違うねえ
400,そして寝過ごすお約束
401,:owl:
402,3時間寝れれば何とか
402,:owl:
406,うん
409,90分が仮眠ベストタイム
409,3時間半までは寝てる
410,起きれなかったらお切れなかった時に考えよう
411,90分単位で寝るといいらしいですよ
417,座って寝れば起きれる可能性あるよ
423,へー
425,そうなんだ
428,ですね〜
429,梅酒の季節ですね
429,梅雨全然
429,空飛ぶスパゲッティモンスターの逆かな
432,梅酒も好きだけど、梅ジュースも大好き
432,梅酒の季節だね
432,梅酒？へぇ
433,梅酒の時期ですね
434,梅雨前線
438,梅シロップつけてましたね
439,確かに今スーパーで梅売ってるね
440,ほう
441,さらっと刃牙仕込むなｗ
441,ほうほう
446,スーパーで売ってるね～
448,梅酒昨日漬けてきた
448,ほほう
449,ふむふむ
450,梅と砂糖と焼酎だっけ？
450,興味深い
451,梅酒に時期があるのか
452,いいね
453,ほうほう
453,ほう
453,チョーヤさんは偉大だぜ
457,ほうほう
459,浸透圧か
461,ほうほう
462,ホワイトリカー
463,お袋が漬けてたなぁ懐かしい
465,ふむふむ
466,ほうほう
467,あら博識リスナー助かる
469,ホワイトリカだね
472,ほう
472,ほうほう
474,科学ですね
475,ほうほう
478,ちゅーしつ
479,ちゅうしゅちゅ
481,ふむ
482,化学的ですねえ
485,スピリタスでもいける
485,なるほど
485,35℃以上の酒ならなんでも良いぞ
489,ちゅーしゅちゅ
490,ああゆっくり溶けるのね
493,氷砂糖は納得
493,へぇー
495,なるほど
496,なるほどわからん
496,へー
497,なるほどね完全に理解した
497,へぇー
498,かわいい
499,なんて？？？
499,なんて？
499,へー
500,ちゅうしゅちゅ
501,かわいいｗ
501,ちゅうしゅちゅ
501,かわいい
501,へー
501,あーそういう原理なんだ！
502,ちゅーしゅちゅ
502,抽出
502,抽出が言えないw
502,可愛くて助かる
502,ちゅーしゅちゅ
503,かわいい
503,へ～
504,噛んだね・・・かわいい
504,かわいい
505,かわいい
505,ちゅーしゅちゅ
506,滑舌の練習？ｗ
506,へぇー
506,かわいい
506,かわいい
507,かわいい
507,なるほどかわいい
507,ちゅうしゅちゅ
507,かっわいいｗ
507,かわいい
509,かわいい
509,ちゅーしゅちゅかわいいｗ
509,へぇｗ　普通の砂糖じゃダメなんだｗ
513,ふふっ
515,化学の時間に聞いた気がする
517,かみまみた
518,あたしだけにちゅーしゅつ
520,深夜の情報量超えてない？？
521,かわいいねぇ
524,ちゅーしゅちゅ
524,なるほどなあ
528,なんだか深い話を聞いてる気がする
531,誰か切り抜いてくだされ
534,へぇ～
537,るかこ、あなたちゅかれ…疲れてるのよ
538,気がする、なのかw
539,高校化学のワードがめっちゃ入ってて懐かしい
541,絶対にみりんで漬けるんじゃねえぞ・・・
541,そう言われると完成度高い技術だなあ
541,チョーヤの瓶とソーダ買うか…
542,からがみ
544,かみまみた
544,甘噛みどころじゃない
545,かみまみたw
545,あみゃがゃみゅい
545,かみまみた
546,梅酒作りますか
547,www
547,あみゃがみ
548,かみまみた
550,あみがみ
553,そうだねｗｗ
556,お気づきになりましたか
558,かみまみた
558,かわいいからヨシ！
560,お水ありがとうございます
560,早口が増えてきたのかもしれない
562,かみまみた
562,かみかみ
563,梅酒
563,毎回聞くねｗ
564,言いにくいねw
567,もう噛むことが自然体
569,うめしゅのちゅーしゅちゅ
569,氷砂糖そういうことなんだ
569,言いにくいかな？
571,しゅしゅしゅ
572,たしかに
573,うめちゅ
574,噛み噛みるきゃこさんかわいい
577,うめしゅちゅうしゅつちゅう
577,可愛いからよし
577,読みづらいかも
578,魔術師梅酒抽出中
579,つまり刃牙ですね
584,浸透圧のスイッチバックw
585,梅酒も奥が深そう
587,夜が噛ませるのよ
588,え？
589,スイッチバックは知らなかった。
592,さ行とた行　難しい
592,梅酒の抽出中って言いずらい
592,梅干し好きだし今度飲んでみようかな
594,昔の人頭良すぎんかってなるよね
604,お菓子作りとかね
607,うんうん
610,鍛高譚を常備してる印象
616,パンとか糠漬けとかも流行りましたね
618,かつてないほど自炊するようになった
620,梅雨って書くくらいですしね
620,青梅が採れる時期
620,梅雨前線かな？
621,お酒入れなかったらジュースにできるよね
621,今が梅の良い時期なんですよ
623,梅酒の季節が今とはしらなんだ
625,今が梅酒の季節って事だけ知ってる
625,梅がシュンです
628,ベースの酒の度数は２０度以上ないといけないらしい
632,ちょうどこの時期に梅の実がとれる
635,梅雨の時期
640,母方の祖父母が漬けてたなぁ
641,メアリさんが梅酒好きですね
641,みあちはねぇ
641,みあちはおじさんなんよ
644,メアリさん得意かな
645,みあちも梅酒作ればいい
646,あら
647,あらそうなの
648,ねるちゃんと一緒だね
648,いまスーパーに梅売ってるね
649,ねるちゃんと一緒だｗ
651,へえ
655,ぬか床だ
655,ねるちゃんと一緒だ
658,あら
659,梅酒の事はメアリさんに聞いた方が良いよ
660,日本は酒税法が厳しくて漬け込み酒のレパートリーが少ない
661,漬物ダメな人多いですね
661,ぬか漬けしましょ
662,糠床とか
663,浅漬けもだめなんですか？
663,糠は奥が深いからねぇ
665,人生をぬか床に支配されるとか
667,るかこさんが漬けて、みあちが食べて、月野木体調が泣く
668,漬物作って送りましょう
668,ぬか床は手を突っ込むと楽しいですよ
681,ｵｲｼｲｳﾒｼｭ
681,きゅうりの浅漬け好き
682,わかる
682,へー
683,あーなるほど
683,そのうち食べられるよになるよ
687,漬物ときゅうりは敵
689,ぬか漬けも苦手そう
691,ディープな漬け方は草
691,ディープな漬け方ｗ
692,米は好きだけど、漬物嫌いなの分かる
692,粕漬けも濃厚で好き嫌いあるよね
692,泣くｗ
694,草
696,いつも泣く
696,w
697,泣くまでがセットｗ
700,草
700,ちろ先なんでも泣くなｗ
700,泣くｗ
701,かつやの漬物は美味しいよ
702,体調不憫w
703,w
705,泣くとお金が飛ぶ
705,漬物でも泣けるんですね
706,とりあえず泣かされるちろる先生
707,もはやノルマですね
708,草
710,ないって言ってましたね
713,今週だ
714,大体泣いてる
714,ちろる先生塩分係やん
715,昼配信で泣いて夜配信で泣いてたのほんま草
719,少なくとも複数人の配信だと10割泣いてそう
720,うんうん
721,体調が泣くとスパチャが飛ぶ
721,おめでとうございます
721,大体泣いてますね
723,もうなんでもいいしじゃん
724,配信のたびに泣かされてるよな体調
725,うんうん
725,感動的だった
726,おめでとう～
729,体調はあにまーれの織田信成だからしゃーなし
730,６日以降ずっと泣いてるって言ってた
732,おめでたいね
732,さすがに泣きすぎてなぁ
736,エモエモだったｗ
736,おめでとう
736,おめでとうございます
737,よかったよ
739,締めのコメントよかったですよ
745,改めておめでとうございます
745,めでたいですね
747,おめでとうございます
752,おめでとうございます
754,めでたい
